书名,作者,图书简介,类型,出版社
肖申克的救赎,斯蒂芬·金,一个关于希望与自由的故事，描绘了主角在逆境中不屈不挠的精神。,小说/励志,人民文学出版社
百年孤独,加西亚·马尔克斯,讲述布恩迪亚家族七代人的兴衰史，融合魔幻现实主义风格。,文学/魔幻,南海出版公司
小王子,安东尼·德·圣-埃克苏佩里,通过一位来自外星的小王子视角，探讨了爱、责任与生命的意义。,童话/哲学,上海译文出版社
活着,余华,讲述一个人在动荡的历史背景下，如何坚强地活下去的故事。,中国文学/现实主义,作家出版社
哈利波特与魔法石,J.K.罗琳,描述一个孤儿发现自己是巫师，并进入霍格沃茨魔法学校学习的冒险故事。,奇幻/青少年,人民文学出版社
三体,刘慈欣,一部科幻巨作，讲述了地球文明与三体文明之间的冲突与联系。,科幻/硬核,重庆出版社
1984,乔治·奥威尔,揭示了一个极权主义社会的恐怖景象，以及个体对自由的追求。,政治/反乌托邦,北京十月文艺出版社
傲慢与偏见,简·奥斯汀,以幽默而细腻的方式展现了19世纪英国乡村的爱情与婚姻观念。,经典文学/爱情,外语教学与研究出版社
追风筝的人,卡勒德·胡赛尼,通过两个男孩的故事，探讨了背叛与救赎的主题。,小说/情感,上海人民出版社
局外人,阿尔贝·加缪,主人公默尔索以冷漠的态度面对母亲去世及随后的谋杀审判，反映了荒诞的存在主义主题。,哲学/小说,上海译文出版社
围城,钱钟书,用幽默讽刺的语言描写了一群知识分子的生活困境与心理状态。,中国文学/讽刺,生活·读书·新知三联书店
白夜行,东野圭吾,一部悬疑推理小说，围绕一桩命案展开，揭露人性的阴暗面。,悬疑/犯罪,南海出版公司
飘,玛格丽特·米切尔,以美国南北战争为背景，讲述了郝思嘉的爱情与成长历程。,历史/爱情,外国文学出版社
悲惨世界,维克多·雨果,讲述冉阿让的一生，探讨法律与道德、宽恕与悔改的主题。,文学/史诗,上海译文出版社
红楼梦,曹雪芹,中国古代四大名著之一，描绘贾宝玉和林黛玉的爱情悲剧及贾府的盛衰变迁。,古典文学/爱情,人民文学出版社
月亮与六便士,威廉·萨默塞特·毛姆,以画家高更为原型，讲述一位证券经纪人放弃一切追寻艺术梦想的故事。,文学/传记,华东师范大学出版社
杀死一只知更鸟,哈珀·李,通过小女孩的视角，反映种族歧视与正义问题，获得普利策奖。,小说/教育,译林出版社
挪威的森林,村上春树,描写了主人公渡边彻在大学期间与两位女性之间的情感纠葛。,青春/爱情,上海译文出版社
安徒生童话选,汉斯·克里斯蒂安·安徒生,包含《丑小鸭》《卖火柴的小女孩》等经典童话作品。,童话/儿童,人民文学出版社
时间简史,斯蒂芬·霍金,介绍宇宙起源、黑洞等科学知识，通俗易懂地阐述复杂理论。,科普/物理,湖南科学技术出版社
